revision_id,property_id,value_id,old_value,new_value,my_label,Annotator,other_annotator_label,Notes
2283316024,-2,description,"""2013 film directed by Shola Lynch""","""2012 film directed by Shola Lynch""",property_value_update,lisa,property_value_update,
1501226726,-2,description,"""-""","""(6 May 1784 - 19 Mar 1872)""",property_value_update,lisa,property_value_update,
140278223,-1,label,"""Hemipristis elongatus""","""Snaggletooth shark""",property_value_update,lisa,property_value_update,
1202857257,18,Q456071$E8F1BABA-EF02-4094-B9F5-E596EFB02919,"""TOTAL BWF World Champs 2015 Day 2 Yip Pui Yin.jpg""","""YipPuiYin1.jpg""",property_value_update,lisa,property_value_update,
1039715235,2534,Q245102$0eb00e45-45a7-9286-c206-57ce99d0c98e,"""P_{3,n}={\\frac {1}{2}}n(n+1)+1={\\frac{n^2+n+2}{2}}""","""P_{3,n}={\\frac {n}{2}}(n+1)={\\frac{n(n+1)}{2}}""",property_value_update,lisa,property_value_update,
114522707,-2,description,"""actress from Cuba""","""Mexican actress""",property_value_update,lisa,property_value_update,
1473862471,2013,Q47546093$0f3f00d5-46d2-3fcc-3944-bfcce86e0983,"""AuriProject""","""AURlband""",property_value_update,lisa,property_value_update,
416212419,-1,label,"""F1F0 ATP synthase subunit 5 YDR298C""","""ATP5""",property_value_update,lisa,property_value_update,
1510688551,-2,description,"""human settlement in Belomorsky District, Republic of Karelia, Russia""","""railway station in Belomorsky District, Republic of Karelia, Russia""",property_value_update,lisa,property_value_update,
831727414,-2,description,"""http://www.bgclagunabeach.org""","""American nonprofit organization""",property_value_update,lisa,property_value_update,
671603760,18,Q390597$8e4fdd21-4315-66ee-5bd6-164588ead6ac,"""Agares.jpg""","""Aguarès.png""",property_value_update,lisa,property_value_update,
1135116145,-2,description,"""The largest, strongest and most famous species of rhinoceros beetle in the world""","""Subsribe to Atom Whymark for fun content""",property_value_update,lisa,property_value_update,
998207962,1618,Q244363$284573F2-AE15-4DDF-8551-30C48C37B551,"""44""","""4""",property_value_update,lisa,property_value_update,
388674,-2,description,"""capital of England and the United Kingdom""","""capital city of the United Kingdom in England""",unrefinement,lore,unrefinement,
459494839,-2,description,"""Spanish association football club""","""Lfp""",property_value_update,lisa,property_value_update,
2275528306,564,Q85236851$a564584e-4916-0be3-454e-092630a56641,"""160–125""","""199–151""",property_value_update,lisa,property_value_update,
921091732,-1,label,"""PKNH_0818800.1""","""peptidyl-prolyl cis-trans isomerase, putative""",property_value_update,lisa,property_value_update,
986364639,-1,label,"""Afu7g01660-T""","""Has domain(s) with predicted catalytic activity and role in metabolic process""",property_value_update,lisa,property_value_update,
83404400,214,q1676316$A49D91EB-52A9-4860-9F1F-9A04642E1222,"""42638841""","""206628503""",property_value_update,lisa,property_value_update,
305910948,1421,Q1762206$6D35DB0E-4963-45FE-940E-2425D4C4187F,"""http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?104667""","""https://npgsweb.ars-grin.gov/gringlobal/taxonomydetail.aspx?id=104667""",property_value_update,lisa,property_value_update,
687754671,-2,description,"""Spanish association football club""","""VILLAAillaassociation football club""",property_value_update,lisa,property_value_update,
1901791505,373,q5591408$1EBDF03E-87C1-4605-B147-15458F3421D4,"""Grace Grace""","""Grace Wilson""",property_value_update,lisa,property_value_update,
93376902,-1,label,"""Il tempo degli avvoltoi""","""Time of Vultures""",property_value_update,lisa,property_value_update,
820902245,18,Q3028017$B989A6DF-FF1B-4452-85BD-9A89CA75DAE3,"""ZUAZUA-2.jpeg""","""Enrique Zuazua (cropped).jpeg""",property_value_update,lisa,property_value_update,
2154564817,18,Q20830731$AABC4854-3AC1-4559-93AE-6B8536727C4C,"""Isabela Merced, 2022.png""","""Isabela Merced in 2024 02.jpg""",property_value_update,lisa,property_value_update,
1276146058,-1,label,"""defense of infancy""","""age of criminal responsibility""",property_value_update,lisa,property_value_update,
1829941707,-2,description,"""American politician – Minnesota -Senate 1883-90 (District 43)""","""American politician (1840–1908) – Minnesota -Senate 1883-90 (District 43)""",refinement,lore,"property_value_update, refinement",
1175439744,-1,label,"""Wu JC""","""Joseph C. Wu""",property_value_update,lisa,"property_value_update, refinement",
2328791370,18,Q24237251$60f97605-42b8-d6bb-6b3c-dd7bf06f74d5,"""University of Nueva Caceres Historical Marker.jpg""","""University of Nueva Caceres NHI historical marker.jpg""",refinement,lore,"property_value_update, refinement",
2154297472,-2,description,"""car body configuration with a rear door that swings upward to provide access to a cargo area""","""passenger car body in a 2-box configuration with a rear door that swings upward to provide access to a cargo area""",refinement,lore,property_value_update,
476403090,-1,label,"""Histone cluster 2 H4 family member b""","""Histone cluster 1 H4 family member k""",property_value_update,lisa,"property_value_update",
1094062363,-2,description,"""landmass comprising the continents of North America and South America""","""Canciones subidas no se""",property_value_update,lisa,property_value_update,
199516532,-2,description,"""Italian tenor""","""Italian operatic tenor""",refinement,lore,refinement,
237956226,-1,label,"""Category:Halford albums""","""Category:Halford (band) albums""",refinement,lisa,refinement,
483796,-2,description,"""German State""","""a state of Germany""",refinement,lisa,refinement,
991125948,-2,description,"""English association football club""","""association football club in Doncaster, England""",refinement,lisa,refinement,
